,word,pn
162,虚しい,-1
164,許せ,-1
165,恐る,-1
166,恐れる,-1
167,狂う,-1
168,狂する,-1
169,胸,-1
170,胸くそ,-1
171,胸苦しい,-1
172,胸糞,-1
174,興醒める,-1
175,驚愕,-1
176,業,-1
177,苦しい,-1
178,苦しむ,-1
179,苦しめ,-1
180,苦汁,-1
181,苦慮,-1
182,欠く,-1
183,欠ける,-1
184,血の気,-1
185,嫌う,-1
186,嫌がる,-1
187,肩,-1
188,肩身,-1
189,見そこなう,-1
190,見失う,-1
191,見損なう,-1
192,見落とす,-1
193,遣り,-1
194,戸惑う,-1
195,枯れる,-1
196,後ろ,-1
197,後ろめたい,-1
198,後口,-1
199,後味,-1
200,誤る,-1
201,慌てる,-1
202,荒れる,-1
203,行,-1
204,行き過ぎる,-1
205,行き詰まる,-1
206,行き詰る,-1
207,行詰る,-1
208,降参,-1
209,降伏,-1
210,降服,-1
211,腰,-1
212,骨,-1
213,困る,-1
214,恨む,-1
215,根,-1
216,混む,-1
217,砕ける,-1
218,錆びる,-1
219,散らかる,-1
220,散る,-1
221,刺さる,-1
222,死さ,-1
223,死ぬ,-1
224,持て余す,-1
225,耳,-1
226,自信,-1
229,辞める,-1
230,失う,-1
231,失っ,-1
232,疾しい,-1
233,寂しい,-1
234,弱る,-1
235,取り逃がす,-1
237,手,-1
238,手間取る,-1
239,腫れる,-1
241,首,-1
242,臭う,-1
243,縮む,-1
244,出来,-1
246,傷つける,-1
247,傷む,-1
248,傷付ける,-1
249,嘗める,-1
250,小首,-1
251,小腹,-1
252,焦る,-1
253,障る,-1
254,乗り遅れる,-1
255,情ない,-1
256,色,-1
257,侵す,-1
258,心外,-1
260,心細い,-1
261,申し訳,-1
262,辛い,-1
263,辛め,-1
267,震える,-1
268,衰える,-1
270,逝く,-1
271,切ない,-1
272,折ら,-1
273,舌,-1
274,争う,-1
275,遭う,-1
276,憎い,-1
277,憎たらしい,-1
278,損,-1
279,損なう,-1
280,損ねる,-1
281,太る,-1
282,堕ちる,-1
283,妥協,-1
284,耐え,-1
285,耐えがたい,-1
286,怠る,-1
287,退かさ,-1
288,嘆く,-1
289,歎,-1
290,断た,-1
291,恥ずかしい,-1
292,遅れ,-1
293,遅れる,-1
295,懲りる,-1
296,懲り懲り,-1
300,頂け,-1
301,墜ちる,-1
302,痛い,-1
303,痛む,-1
304,痛める,-1
305,潰れる,-1
306,諦める,-1
307,溺れる,-1
308,転ぶ,-1
309,吐き出す,-1
310,妬む,-1
311,途方,-1
312,怒る,-1
313,倒れる,-1
314,凍える,-1
315,悼む,-1
